part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family
upper_grille_a,Upper grille A,Iridium Silver,8,C_IRIDIUM_SILVER,2,135,J000001,1,1,Upper grille A,Upper grille,A,1,Iridium Silver,8,SILVER
upper_grille_a,Upper grille A,Iridium Silver,8,C_IRIDIUM_SILVER,2,135,J000002,1,2,Upper grille A,Upper grille,A,1,Iridium Silver,8,SILVER
upper_grille_b,Upper grille B,Iridium Silver,8,C_IRIDIUM_SILVER,2,150,J000003,2,1,Upper grille B,Upper grille,B,2,Iridium Silver,8,SILVER
upper_grille_b,Upper grille B,Iridium Silver,8,C_IRIDIUM_SILVER,2,150,J000004,2,2,Upper grille B,Upper grille,B,2,Iridium Silver,8,SILVER
middle_spoiler_a,Middle spoiler A,Shining Blue,6,C_SHINING_BLUE,1,39,J000005,3,1,Middle spoiler A,Middle spoiler,A,3,Shining Blue,6,BLUE
middle_spoiler_a,Middle spoiler A,Obsidian Black,10,C_OBSIDIAN_BLACK,1,72,J000006,4,1,Middle spoiler A,Middle spoiler,A,3,Obsidian Black,10,BLACK
middle_spoiler_a,Middle spoiler A,Polar White,1,C_POLAR_WHITE,2,149,J000007,5,1,Middle spoiler A,Middle spoiler,A,3,Polar White,1,WHITE
middle_spoiler_a,Middle spoiler A,Polar White,1,C_POLAR_WHITE,2,149,J000008,5,2,Middle spoiler A,Middle spoiler,A,3,Polar White,1,WHITE
middle_spoiler_a,Middle spoiler A,Milan Silver,7,C_MILAN_SILVER,1,76,J000009,6,1,Middle spoiler A,Middle spoiler,A,3,Milan Silver,7,SILVER
front_bumper_a,Front bumper A,Shining Blue,6,C_SHINING_BLUE,3,249,J000010,7,1,Front bumper A,Front bumper,A,4,Shining Blue,6,BLUE
front_bumper_a,Front bumper A,Shining Blue,6,C_SHINING_BLUE,3,249,J000011,7,2,Front bumper A,Front bumper,A,4,Shining Blue,6,BLUE
front_bumper_a,Front bumper A,Shining Blue,6,C_SHINING_BLUE,3,249,J000012,7,3,Front bumper A,Front bumper,A,4,Shining Blue,6,BLUE
front_bumper_a,Front bumper A,Sapphire Blue,5,C_SAPPHIRE_BLUE,1,80,J000013,8,1,Front bumper A,Front bumper,A,4,Sapphire Blue,5,BLUE
front_bumper_a,Front bumper A,Obsidian Black,10,C_OBSIDIAN_BLACK,3,212,J000014,9,1,Front bumper A,Front bumper,A,4,Obsidian Black,10,BLACK
front_bumper_a,Front bumper A,Obsidian Black,10,C_OBSIDIAN_BLACK,3,212,J000015,9,2,Front bumper A,Front bumper,A,4,Obsidian Black,10,BLACK
front_bumper_a,Front bumper A,Obsidian Black,10,C_OBSIDIAN_BLACK,3,212,J000016,9,3,Front bumper A,Front bumper,A,4,Obsidian Black,10,BLACK
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000017,10,1,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000018,10,2,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000019,10,3,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000020,10,4,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000021,10,5,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000022,10,6,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000023,10,7,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000024,10,8,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Polar White,1,C_POLAR_WHITE,9,885,J000025,10,9,Front bumper A,Front bumper,A,4,Polar White,1,WHITE
front_bumper_a,Front bumper A,Milan Silver,7,C_MILAN_SILVER,1,84,J000026,11,1,Front bumper A,Front bumper,A,4,Milan Silver,7,SILVER
front_bumper_a,Front bumper A,Iridium Silver,8,C_IRIDIUM_SILVER,1,40,J000027,12,1,Front bumper A,Front bumper,A,4,Iridium Silver,8,SILVER
front_bumper_b,Front bumper B,Sapphire Blue,5,C_SAPPHIRE_BLUE,1,27,J000028,13,1,Front bumper B,Front bumper,B,5,Sapphire Blue,5,BLUE
front_bumper_b,Front bumper B,Polar White,1,C_POLAR_WHITE,1,28,J000029,14,1,Front bumper B,Front bumper,B,5,Polar White,1,WHITE
front_bumper_b,Front bumper B,Iridium Silver,8,C_IRIDIUM_SILVER,1,24,J000030,15,1,Front bumper B,Front bumper,B,5,Iridium Silver,8,SILVER
front_bumper_c,Front bumper C,Shining Blue,6,C_SHINING_BLUE,1,12,J000031,16,1,Front bumper C,Front bumper,C,6,Shining Blue,6,BLUE
front_bumper_c,Front bumper C,Sapphire Blue,5,C_SAPPHIRE_BLUE,1,3,J000032,17,1,Front bumper C,Front bumper,C,6,Sapphire Blue,5,BLUE
front_bumper_c,Front bumper C,Obsidian Black,10,C_OBSIDIAN_BLACK,5,424,J000033,18,1,Front bumper C,Front bumper,C,6,Obsidian Black,10,BLACK
front_bumper_c,Front bumper C,Obsidian Black,10,C_OBSIDIAN_BLACK,5,424,J000034,18,2,Front bumper C,Front bumper,C,6,Obsidian Black,10,BLACK
front_bumper_c,Front bumper C,Obsidian Black,10,C_OBSIDIAN_BLACK,5,424,J000035,18,3,Front bumper C,Front bumper,C,6,Obsidian Black,10,BLACK
front_bumper_c,Front bumper C,Obsidian Black,10,C_OBSIDIAN_BLACK,5,424,J000036,18,4,Front bumper C,Front bumper,C,6,Obsidian Black,10,BLACK
front_bumper_c,Front bumper C,Obsidian Black,10,C_OBSIDIAN_BLACK,5,424,J000037,18,5,Front bumper C,Front bumper,C,6,Obsidian Black,10,BLACK
front_bumper_c,Front bumper C,Diamond White,2,C_DIAMOND_WHITE,1,78,J000038,19,1,Front bumper C,Front bumper,C,6,Diamond White,2,WHITE
front_bumper_d,Front bumper D,Sapphire Blue,5,C_SAPPHIRE_BLUE,1,15,J000039,20,1,Front bumper D,Front bumper,D,7,Sapphire Blue,5,BLUE
front_bumper_d,Front bumper D,Obsidian Black,10,C_OBSIDIAN_BLACK,10,992,J000040,21,1,Front bumper D,Front bumper,D,7,Obsidian Black,10,BLACK
front_bumper_d,Front bumper D,Obsidian Black,10,C_OBSIDIAN_BLACK,10,992,J000041,21,2,Front bumper D,Front bumper,D,7,Obsidian Black,10,BLACK
front_bumper_d,Front bumper D,Obsidian Black,10,C_OBSIDIAN_BLACK,10,992,J000042,21,3,Front bumper D,Front bumper,D,7,Obsidian Black,10,BLACK
front_bumper_d,Front bumper D,Obsidian Black,10,C_OBSIDIAN_BLACK,10,992,J000043,21,4,Front bumper D,Front bumper,D,7,Obsidian Black,10,BLACK
front_bumper_d,Front bumper D,Obsidian Black,10,C_OBSIDIAN_BLACK,10,992,J000044,21,5,Front bumper D,Front bumper,D,7,Obsidian Black,10,BLACK
