token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost
1,START,,,,,,,,,,,,,,,,,,,
2,JOB,upper_grille_a,Upper grille A,Iridium Silver,8.0,C_IRIDIUM_SILVER,2.0,135.0,J000001,1.0,1.0,Upper grille A,Upper grille,A,1.0,Iridium Silver,8.0,SILVER,0.0,0.0
3,JOB,upper_grille_a,Upper grille A,Iridium Silver,8.0,C_IRIDIUM_SILVER,2.0,135.0,J000002,1.0,2.0,Upper grille A,Upper grille,A,1.0,Iridium Silver,8.0,SILVER,0.0,0.0
4,JOB,upper_grille_b,Upper grille B,Iridium Silver,8.0,C_IRIDIUM_SILVER,2.0,150.0,J000003,2.0,1.0,Upper grille B,Upper grille,B,2.0,Iridium Silver,8.0,SILVER,0.0,0.0
5,JOB,upper_grille_b,Upper grille B,Iridium Silver,8.0,C_IRIDIUM_SILVER,2.0,150.0,J000004,2.0,2.0,Upper grille B,Upper grille,B,2.0,Iridium Silver,8.0,SILVER,0.0,0.0
6,JOB,front_bumper_a,Front bumper A,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,40.0,J000027,12.0,1.0,Front bumper A,Front bumper,A,4.0,Iridium Silver,8.0,SILVER,0.0,0.0
7,JOB,front_bumper_b,Front bumper B,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,24.0,J000030,15.0,1.0,Front bumper B,Front bumper,B,5.0,Iridium Silver,8.0,SILVER,0.0,0.0
8,JOB,rear_bumper_a,Rear bumper A,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,35.0,J000092,36.0,1.0,Rear bumper A,Rear bumper,A,11.0,Iridium Silver,8.0,SILVER,0.0,0.0
9,JOB,rear_bumper_d,Rear bumper D,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,11.0,J000106,42.0,1.0,Rear bumper D,Rear bumper,D,14.0,Iridium Silver,8.0,SILVER,0.0,0.0
10,JOB,threshold_a,Threshold A,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,10.0,J000154,68.0,1.0,Threshold A,Threshold,A,21.0,Iridium Silver,8.0,SILVER,0.0,0.0
11,JOB,threshold_trim_a,Threshold trim A,Iridium Silver,8.0,C_IRIDIUM_SILVER,3.0,299.0,J000173,75.0,1.0,Threshold trim A,Threshold trim,A,26.0,Iridium Silver,8.0,SILVER,0.0,0.0
12,JOB,threshold_trim_a,Threshold trim A,Iridium Silver,8.0,C_IRIDIUM_SILVER,3.0,299.0,J000174,75.0,2.0,Threshold trim A,Threshold trim,A,26.0,Iridium Silver,8.0,SILVER,0.0,0.0
13,JOB,threshold_trim_a,Threshold trim A,Iridium Silver,8.0,C_IRIDIUM_SILVER,3.0,299.0,J000175,75.0,3.0,Threshold trim A,Threshold trim,A,26.0,Iridium Silver,8.0,SILVER,0.0,0.0
