token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost,booth_id,booth_seq_index,feeder_job_index,feeder_token_index
2,JOB,upper_grille_a,Upper grille A,Iridium Silver,8.0,C_IRIDIUM_SILVER,2.0,135.0,J000001,1.0,1.0,Upper grille A,Upper grille,A,1.0,Iridium Silver,8.0,SILVER,0.0,0.0,1,1,1,2
5,JOB,upper_grille_b,Upper grille B,Iridium Silver,8.0,C_IRIDIUM_SILVER,2.0,150.0,J000004,2.0,2.0,Upper grille B,Upper grille,B,2.0,Iridium Silver,8.0,SILVER,0.0,0.0,1,2,4,5
6,JOB,front_bumper_a,Front bumper A,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,40.0,J000027,12.0,1.0,Front bumper A,Front bumper,A,4.0,Iridium Silver,8.0,SILVER,0.0,0.0,1,3,5,6
9,JOB,rear_bumper_d,Rear bumper D,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,11.0,J000106,42.0,1.0,Rear bumper D,Rear bumper,D,14.0,Iridium Silver,8.0,SILVER,0.0,0.0,1,4,8,9
10,JOB,threshold_a,Threshold A,Iridium Silver,8.0,C_IRIDIUM_SILVER,1.0,10.0,J000154,68.0,1.0,Threshold A,Threshold,A,21.0,Iridium Silver,8.0,SILVER,0.0,0.0,1,5,9,10
13,JOB,threshold_trim_a,Threshold trim A,Iridium Silver,8.0,C_IRIDIUM_SILVER,3.0,299.0,J000175,75.0,3.0,Threshold trim A,Threshold trim,A,26.0,Iridium Silver,8.0,SILVER,0.0,0.0,1,6,12,13
14,JOB,middle_spoiler_a,Middle spoiler A,Shining Blue,6.0,C_SHINING_BLUE,1.0,39.0,J000005,3.0,1.0,Middle spoiler A,Middle spoiler,A,3.0,Shining Blue,6.0,BLUE,1.0,1.0,1,7,13,14
17,JOB,front_bumper_a,Front bumper A,Shining Blue,6.0,C_SHINING_BLUE,3.0,249.0,J000012,7.0,3.0,Front bumper A,Front bumper,A,4.0,Shining Blue,6.0,BLUE,0.0,1.0,1,8,16,17
18,JOB,front_bumper_c,Front bumper C,Shining Blue,6.0,C_SHINING_BLUE,1.0,12.0,J000031,16.0,1.0,Front bumper C,Front bumper,C,6.0,Shining Blue,6.0,BLUE,0.0,1.0,1,9,17,18
21,JOB,front_bumper_f,Front bumper F,Shining Blue,6.0,C_SHINING_BLUE,2.0,128.0,J000063,27.0,1.0,Front bumper F,Front bumper,F,9.0,Shining Blue,6.0,BLUE,0.0,1.0,1,10,20,21
22,JOB,front_bumper_f,Front bumper F,Shining Blue,6.0,C_SHINING_BLUE,2.0,128.0,J000064,27.0,2.0,Front bumper F,Front bumper,F,9.0,Shining Blue,6.0,BLUE,0.0,1.0,1,11,21,22
25,JOB,rear_bumper_f,Rear bumper F,Shining Blue,6.0,C_SHINING_BLUE,2.0,115.0,J000108,44.0,1.0,Rear bumper F,Rear bumper,F,16.0,Shining Blue,6.0,BLUE,0.0,1.0,1,12,24,25
26,JOB,rear_bumper_f,Rear bumper F,Shining Blue,6.0,C_SHINING_BLUE,2.0,115.0,J000109,44.0,2.0,Rear bumper F,Rear bumper,F,16.0,Shining Blue,6.0,BLUE,0.0,1.0,1,13,25,26
29,JOB,threshold_a,Threshold A,Shining Blue,6.0,C_SHINING_BLUE,3.0,204.0,J000138,62.0,1.0,Threshold A,Threshold,A,21.0,Shining Blue,6.0,BLUE,0.0,1.0,1,14,28,29
46,JOB,threshold_a,Threshold A,Shining Blue,6.0,C_SHINING_BLUE,3.0,204.0,J000139,62.0,2.0,Threshold A,Threshold,A,21.0,Shining Blue,6.0,BLUE,1.0,3.0,1,15,45,46
30,JOB,middle_spoiler_a,Middle spoiler A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,1.0,72.0,J000006,4.0,1.0,Middle spoiler A,Middle spoiler,A,3.0,Obsidian Black,10.0,BLACK,1.0,2.0,1,16,29,30
33,JOB,front_bumper_a,Front bumper A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,212.0,J000016,9.0,3.0,Front bumper A,Front bumper,A,4.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,17,32,33
34,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000033,18.0,1.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,18,33,34
37,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000036,18.0,4.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,19,36,37
38,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000037,18.0,5.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,20,37,38
41,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000042,21.0,3.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,21,40,41
42,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000043,21.0,4.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,22,41,42
45,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000046,21.0,7.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0,1,23,44,45
49,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000048,21.0,9.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,24,48,49
50,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000049,21.0,10.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,25,49,50
53,JOB,front_bumper_e,Front bumper E,Obsidian Black,10.0,C_OBSIDIAN_BLACK,4.0,373.0,J000055,24.0,3.0,Front bumper E,Front bumper,E,8.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,26,52,53
54,JOB,front_bumper_e,Front bumper E,Obsidian Black,10.0,C_OBSIDIAN_BLACK,4.0,373.0,J000056,24.0,4.0,Front bumper E,Front bumper,E,8.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,27,53,54
57,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000097,39.0,3.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,28,56,57
58,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000098,39.0,4.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,29,57,58
61,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000101,39.0,7.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,30,60,61
62,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000102,39.0,8.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0,1,31,61,62
82,JOB,rear_bumper_f,Rear bumper F,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,278.0,J000112,46.0,1.0,Rear bumper F,Rear bumper,F,16.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,32,80,82
83,JOB,rear_bumper_f,Rear bumper F,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,278.0,J000113,46.0,2.0,Rear bumper F,Rear bumper,F,16.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,33,81,83
87,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000156,70.0,1.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,34,84,87
88,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000157,70.0,2.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,35,85,88
